Money View Money Manager and Instant Personal Loan,"10,000,000+","183,280",Finance,4.0,com.whizdm.moneyview,WhizDM,https://play.google.com/store/apps/details?id=com.whizdm.moneyview,"Money View is the #1 Money Management App for automatically tracking your expenses, budgeting and getting an instant loan personal loan of upto Rs. 5,00,000.
We also provide instant loans from ₹10,000 to ₹5,00,000, with an average interest between 1.33% - 2.5% per month. 
These instant loans are given for a duration of 3 months - 5 years (60 months). 
The standard processing fee varies from 2.5% to 4% of the loan amount.
With the Money View Money Manager app, you can:
✅ Track your expenses automatically using the expense manager (via SMS)
✅ Get an instant personal loan of upto Rs. 5,00,000 in 2 hours
✅ Check bank balance and PayTM & Freecharge wallet balance (tracked via bank SMS)
✅ Set & track a budget - keep a check on your expenses
✅ Get bill reminders & pay bills on time (tracked via SMS from banks and billers)
✅ Keep track of office reimbursements
Using our proprietary technology platform, the app reads your financial SMS from banks and billers to automatically present a comprehensive view of your finances without you having to manually track your expenses.
Our loan amount range from ₹10,000 to ₹5,00,000
Loan duration range from 3 months - 5 years (60 months)
Annual Interest rates vary from - 16-36%*
Processing fee vary from 2.5% - 4%*
For eg., for a loan of ₹50,000 with an APR of 18% and 24-month tenure total interest along with the fees will be ₹11,679.
Money View does not read your personal SMSs, bank OTP's, passwords or account numbers. Money View recognises accounts based on the last four digits mentioned in an SMS. Money View uses bank-grade security & encryption - so your data and money are safe. Money View is completely safe & secure.
Over 1.5 Crore people have downloaded Money View. Leading banks and financial institutions trust Money View’s technology.
 Recently, we've seen a few Chinese phones that come packaged with a system task killer or battery optimizer. These prevent Money View from working efficiently. Please find the ""do not stop"" list in their settings, and add Money View as an exception.
For example: On 
1) Open Security App, then open Battery, then App Battery Saver. Here, select ""No restrictions"" for Money View. 
2) Open Security App again, then Permissions, then again Permissions. Here, enable autostart for Money View 
3) Open Security App once again, then Permissions, then ""Other Permissions"". Here, give ""Service Message"" permission to Money View so that App can read SMS.
The app requires the following permissions to function properly :
SMS - READ_SMS, RECEIVE_SMS
Required to read financial SMSs for tracking transactions automatically and providing a comprehensive view of income, spend, due bills, etc.
Your financial transactions are also used to create your financial and risk profile, to provide the best loan offer
Contacts - GET_ACCOUNTS
Required to fetch the verified Google email for signup 
Contacts - READ_CONTACTS
Required for split expenses with contacts feature.
Device Info - READ_PHONE_STATE
Required to link the device IMEI to the account and loan application
Camera & Media - CAMERA, READ_EXTERNAL_STORAGE, WRITE_EXTERNAL_STORAGE
Required to enable the user to attach snapshots of receipts to expense entries. Also required for document upload while applying for a loan.
Location - ACCESS_FINE_LOCATION
Required for verifying current address in case you want to apply for a loan",Earth-2.7.9,"December 2, 2019","- Performance improvements
- For users who wants to apply for a loan, we have optimised the application form.
Got some feedback? write to us at feedback@moneyview.in",,,,Mon Dec  9 00:33:43 2019
Robocash - Online Loan Robot,"100,000+","2,167",Finance,4.3,ind.robocash.nativemobile,Robocash India,https://play.google.com/store/apps/details?id=ind.robocash.nativemobile,"We offer 15 min processing of new loans (with completed requirements).
Fast loans on all working days, regardless of time!
Fully automated short term micro loans online! 
Loan money online with Robocash application! Same day loans for your needs!
Robocash has occupied a solid position as a successful and trustworthy company. Philippines, Russia, Kazakhstan, Spain, Indonesia and now in India - we work with people from different countries with our online loan service! You can get a loan only in Mumbai, Pune, Thane, Bengaluru and Hyderabad.
Instant approval loans for your pleasure - we offer 15 min processing of paperless loan.
Maximum period for repayment - 90 days
Minimum period for repayment - 60 days
Interest rate - 1% per day (for clients with excellent CIBIL Score)
Representative example: Loan amount 5,000 INR and fully repaid after 60 days of using the loan. Interest rate of 1% per day*. Total amount payable = 8,250 INR (APR=65%, processing fee 250 INR).
*for clients with excellent CIBIL Score",0.0.12,"September 12, 2019",,,,,Mon Dec  9 00:33:44 2019
Loan Instant Personal Loan App - CashBean,"10,000,000+","385,473",Finance,4.3,com.loan.cash.credit.easy.dhan.quick.udhaar.lend.game.jaldi.paisa.borrow.rupee.play.kredit,P C Financial Services Private Limited.,https://play.google.com/store/apps/details?id=com.loan.cash.credit.easy.dhan.quick.udhaar.lend.game.jaldi.paisa.borrow.rupee.play.kredit,"Loan Amount: from ₹ 1,000 to 60,000.
Tenure: the shortest tenure is 91 days, the longest tenure is 365 days. Interest rate: Depends on the customer's risk profile and loan tenure. The maximum interest rate is 33% per annum.
For example: If the loan amount is ₹10,000 and the interest rate is 30% per annum with the tenure of 91 days, after deducting the processing fee, the interest payable is as follows :
Interest = ₹ 10,000 * 30% / 365 * 91 = ₹ 748.
 
CashBean is an Instant Personal Loan Platform for Indian mobile users. Presented by P C financial Services Private Limited, RBI registered NBFC. CashBean fulfills customers’ financial needs 7*24 completely online. The application process takes just a few steps with minimal documentation in no more than 10 minutes and the approved loan amount is immediately transferred to the applicant’ s bank account.
 
Get fast, fair, convenient and affordable online loans on CashBean. -- Indian instant personal loan app.
 
 
Why CashBean?
1. No credit history required.
2. Paperless and digital process on your mobile.
3. Get 7*24 access to loan anytime and anywhere.
4. Speedy review in 30 minutes.
5. Disburse to your bank account directly in 5 minutes once approved.
6. Available across India.
7. As the credit score grows, the Sanctioned amount gradually increases. Variety of convenient repayment methods.
 
 
Eligibility:
1. Indian Resident.
2. 21-56 years old.
3. Source of a monthly income.
 
How it works？
1. Install the CashBean APP from the Play Store.
2. Register an account.
3. Select the product you would like to apply for.
4. Fill out your basic information, then submit the application.
5. After the submission, you may receive a call for verification. The final application result will be shown in the APP and you will be informed by SMS if approved.
6. E-sign the loan agreement after the approval.
7. After the E-sign, the approved loan amount will be disbursed into your account within 5 minutes and a SMS notification will be sent.
 
Security:
All the transactions are secured via a 256-bit SSL encryption. All the data are transferred over secured connections. We do not share your data with any third parties without your consent. Your data is totally safe with us.
 
Contact Us:
Customer Service Email: cashbean.help@pcfinancial.in
Customer Service Hot line: 18005728088, 0124-6036666
Address: Building RZ-2, Pole No-3, G/F, Near HDFC Bank, Kapashera, New Delhi-110037",1.8.1,"December 7, 2019","1. Optimize user experience
2. Minor bug fixes",,,,Mon Dec  9 00:33:44 2019
"IndiaLends - Personal Loan, Credit Cards & Score","1,000,000+","57,367",Finance,4.3,com.indialends.android,Indialends,https://play.google.com/store/apps/details?id=com.indialends.android,"IndiaLends is a digital lending and borrowing marketplace for instant personal loans, credit cards, and free cibil score.
Here’s a complete list of products/services you can get from IndiaLends app:
Free Credit Report / Cibil Score
50+ Personal Loan Offers
Small Loans (Micro Loans) with Instant Approval
40+ Credit Card Options
Spend Analyzer
Loan EMI Calculator
Financial Blog
Our association with various lenders has enabled us to provide services to a million+ customers in more than 400 cities. We were also featured in the Google Developers Launchpad, Business Line, Economic Times, India Today and many more.
Credit score / Cibil Score
At IndiaLends app, check your free Credit Score / Cibil Score worth ₹1200 and get a detailed analysis of your credit report / Cibil Report and tips to improve your score. Our latest feature allows you to refresh your credit report and know why your credit score has changed.
Product features:
Personal loan
Get personalized personal loan offers up to ₹50 lacs at interest rates starting 10.75% for a tenure ranging from 1 year to 5 years. The app selects the best suitable Banks/NBFCs offering minimal interest rate and easy approval based on your personal loan eligibility. IndiaLends has associations with over 50+ banks and NBFCs including HDFC Bank, SBI, ICICI Bank, Yes Bank, Bajaj Finserv, IDFC First Bank, IIFL, Clix Capital, Paysense, DMI, Citibank, Tata Capital, IndusInd Bank, RBL, Capital First Limited, Fullerton India, Aditya Birla Finance Limited, Axis Bank, CASHe, Credit Sudhaar, etc.
Personal Loan Eligibility
Age - 18/21 years - 60/65 years
Employment Type - Salaried/Self-Employed
Minimum Net Income (monthly) - ₹15,000
Work Experience - Salaried for at least 6/12 months or Self-Employed for at least 3 years
Tenure: (Min) 3 to (Max) 60 months
Interest Rate ranging from 10.75% to 25% depending on customer’s credit and risk profile
Representative Example
With a representative 10.75% APR based on borrowing ₹ 10 lacs and repaying over 60 months with 60 monthly repayments, the monthly repayments will be ₹ 21,618 which can be paid within a tenure of 12-60 months.
*Please note the processing fee can vary from 1.5% - 6%. The figures provided are indicative and subject to change from time.
Credit Card
With the IndiaLends app, get credit card suggestions from 40+ options and select the credit card that best suits you. Some of the credit card providers associated with us are ICICI Bank, HDFC Bank, American Express, SBI, Kotak Mahindra Bank, Citibank, RBL and Yes Bank.
Chhota Loan/Micro Loan
Get instant small loans up to ₹2 lacs at EMI’s as low as ₹1400. The process to apply for a Chhota Loan or Micro Loan is easy, paperless and hassle-free. Further, the amount approved is transferred to your bank account within 48 hours.
Credit Line
Get your personal line of credit with instant cash upto Rs.1 lakhs with simple, hassle-free and digitised approval end to end. Use it whenever & wherever you want, for anything from travel, dining, shopping, entertainment to marriage, gifts, renovation, remodelling, etc.
Spend Analyzer
The Spend Analysis feature on the IndiaLends App can help you easily track and manage your daily spends. The extended feature also helps you to set a reminder so that you never miss an EMI and manage your bills better. 
EMI Calculator
The simple and handy loan EMI calculator lets you easily calculate EMIs. All you need to do is enter the loan amount, interest rate and loan tenure, and you will know the convenient and easy EMIs basis the inputs entered. 
Choose IndiaLends for the best personal loans and credit card offers. Download IndiaLends App now to get your credit report for free!
Discover IndiaLends on:
Website: https://indialends.com/
Facebook: https://www.facebook.com/IndiaLends/
Instagram: https://www.instagram.com/_indialends/
Twitter: https://twitter.com/indialends",5.4.6.1.1,"December 7, 2019","Introducing IndiaLends Xpress - India's Fastest Credit Line
One-time Instant Approval upto 1Lac
100% paperless
Withdraw 10K & above - 24X7
Dreams are closer than you think!",,,,Mon Dec  9 00:33:45 2019
"Free Credit Score, Loans, Cards & Mutual Funds","5,000,000+","46,258",Finance,4.4,com.paisabazaar,Paisabazaar.com,https://play.google.com/store/apps/details?id=com.paisabazaar,"Paisabazaar is a one stop digital lending marketplace that offers Free Credit Report, personal loan, credit cards, business loan, home loans, mutual funds and many other financial services at one place.
With Paisabazaar app you can explore and avail the below services:
• Free Credit Report from CIBIL, Experian & CRIF Highmark
• Personal loan offers from top banks and NBFCs
• 50+ Credit Card options from top providers
• Business loan offers
• Home loan options
• Mutual fund investments
• Loan Against Property
• EMI Calculators for different kinds of loans
• Credit Score Assistance
• Tax solutions
• Banking & other related information
• Financial guidance through experts
• PB Tracker
• Fixed Deposit
• Digital Gold
• Savings Account
Download Paisabazaar app to save your time, effort and the hassles usually associated with personal finance.  Apply for personal loan, home loan, business loan, LAP and other loans at lowest rates. Get Credit Cards with Best Services. 
We work with more than 90 partners that include leading banks, NBFCs and Mutual Fund Houses from India. Our operations span over 250 cities across the country wherein we are catering to millions of users with our more than 200 financial products.
We have achieved the milestone of disbursing loans worth Rs. 10,000 crore on annual basis and have become the only independent online financial marketplace to do so in the country.
Apart from being featured by various prominent media houses on regular basis, Paisabazaar has been awarded Best Financial Services award by Economic Times and has been recognized as the Best Emerging Brand by Indian Brand Convention and the CMO Asia Awards.
The Paisabazaar app is your personal finance agent and advisor. It has over a million users and offers over 90 products to choose from. Here's a list of few benefits you get on your fingertips with the Paisabazaar app:
✔ PaisaTrackr, one of the core features of the Paisabazaar app, is the perfect spending tracker app. It helps you track all your accounts and spends, provides you detailed analysis of where you are spending your money, keeps you updated in real time on all your transactions and manages your bills better through timely reminders. 
✔ Get customized offers for home loans, personal loans, education loans, credit cards and savings account through our self-help comparison engine.
Paisabazaar offers instant personal loans at interest rates starting from as low as 12-30% p.a. with a 62 days to 60 months repayment duration.
Borrow any amount starting from ₹3000 up to ₹50 Lakhs.
Sample Loan Calculation:
Loan amount: INR 4,00,000
Interest Rate: 15% p.a.
Loan Duration: 3 years
Total Interest = INR 99,176
Processing fees (PF) + GST= 4000 + 720 = INR 4,720
In Hand Amount: Loan Amount - Total Deductibles = 4,00,000 - 4,720 = INR 3,95,280
Total repayable Amount: INR 4,99,176
Monthly EMI Repayable: INR 13,866
*Deductibles are deducted upfront during the loan disbursal.
✔ Credit score tracking at all times, along with expert tips to improve your score. Identify saving opportunities on your existing EMIs and get top loan & card offers basis your credit profile.
✔ Find various mutual funds ranging from tax-saving ELSS and liquid funds to debt funds and micro-cap funds that are designed to meet your investment needs, in accordance with your budget and requirements.
So, download convenience on your fingertips, download the Paisabazaar app now!
Want to send us an email? Write in at care@paisabazaar.com",4.8.73,"December 2, 2019","- FREE CIBIL Score!
- Status tracking for your loans and cards applications
- PaisaTrackr - Now track your expenses, see the categories where you spend and get upcoming bill details. Never pay a late fee!
- Minor bug fixes to make things faster and provide a hassle free experience",,,,Mon Dec  9 00:33:45 2019
Sahukar - Instant Loan for College Students,"500,000+","8,169",Business,4.3,com.sipl.udhaar,Sahukar,https://play.google.com/store/apps/details?id=com.sipl.udhaar,"Sahukar is a digital lending platform that gives personal / pocket money loans to students to help them meet their financial needs such as education and living expenses during their college life. 
We understand that during student life, there is often a cash crunch for small ticket expenses such as tuition, fees, gifting on birthdays or other occasions, extra classes, treating friends – there could be many reasons. We step in to help students so that they need not ask their friends or relatives. We are aware that this can often be embarrassing for students.
On Sahukar, the profile of the students is carefully assessed before a credit limit is assigned to them. Such a credit limit is dynamic or revolving in nature and also closely depends on the repayment history of a borrower. 
The credit limit and hence, the loan taken can be anywhere from ₹ 500 to ₹ 5,000. The student can choose to take the loan in either his Paytm Wallet or his bank account. There is absolutely no need to wait for next month’s pocket money.
The udhaar / loan / pocket money can be easily repaid in maximum 90 days!
The interest rate is only 3% per month. This means that the maximum interest rate per annum is 36% only. For example, if you take a loan of 1000 for 3 months, then after deduction of processing fee, the total interest payable is INR 30 x 3 = INR 90 only.
Students are to note here that Sahukar is backed by an RBI registered legal NBFC as its partner. 
We request all borrowers to read sample loan agreements and loan calculations before placing a request for a loan.  
Come take an Udhaar / loan / pocket money from us, fulfill your needs and be financially independent and responsible!",4.9.0,"November 2, 2019",Minor bug fixer,,,,Mon Dec  9 00:33:45 2019
Instant loan for college students – mPokket,"1,000,000+","165,819",Finance,4.5,com.mpokket.app,⭐mPokket,https://play.google.com/store/apps/details?id=com.mpokket.app,"mPokket provides instant personal loans to all college students in India. The loan amount is sent to you via instant credit to your bank account or Paytm wallet. You can start by borrowing 500 INR and your borrowing limit will keep increasing over time with good usage. You can choose to repay in 61 to 90 days. The overall interest payable starts at only 3.5% of the principal and maximum annual percentage rate can go up to fifty percent. For example, if you borrow INR two thousand, after three months you have to repay two thousand two hundred. 
Consider us your pocket money alternative for the rainy day or emergency cash need!
Graduated and got a job or job offer? Want a salary advance? Need extra cash fast? mPokket now also provides quick personal and salary loans to students who have recently graduated from college and got a job offer or started working as a professional.
 For instant student loan: You must be a college student over 18 years of age
  For instant salary loan: You must be a recent graduate from college and have received a job offer or started working
Unlike other student personal loan providers we do not restrict our services to a limited set of cities or colleges. You can be studying in or have graduated from any college in India.
mPokket's purpose and the app's core functionality is to offer you a loan in your time of need, which is virtually impossible to obtain otherwise in India as a college student. We are able to accomplish this by using our proprietary algorithms to create a credit risk profile based on your financial SMS data (sent by banks and merchants) and calling patterns (based on your call logs). This allows us to make a loan offer best suited for your needs. The private information you share with us is stored using the best security protocols.
For Student Loan:
 ID Proof (College ID card) 
  Address Proof (Voter ID Card/Driving License/Passport)
For Salary Loan (we also require):
 Offer letter or salary slip
  Bank statement
That’s it! Isn’t it easy? Simply upload photos from your mobile and take a quick personal loan.
 Download the mPokket College Student App
 Upload KYC information, selfie video, and Address Proof and Student ID card
 Wait for a few hours for your information to be verified by us. Get SMS alert when verified  
 Select the loan amount and for how long you want to borrow and where (Bank or Paytm)
 Get money in your Bank or Paytm in an instant
 Repay anytime before due date at your convenience using Debit Card, Paytm wallet or UPI
 Provide some extra information if you wish to apply for higher credit limit
 Provide your job related information if you are working or have a job offer and want an even higher borrow limit
 College expense
 Tuition fee
 Exam fee
 Hostel fee
 Mobile recharge
 Buy books
 Travel – Bus, Taxi, Train, Flight
 Eat out
 Bike loan or 2 wheeler loan
 Utility bill
 Salary advance
Or literally anything else you want to use the money for :)
For more answers visit http://www.mpokket.com/faq.html
For help email us at 
Permission Required by app:
Phone
To prevent fraud by uniquely identifying the device & restricting unauthorized devices to act on user's behalf
Contacts
To collect contact info to detect references & auto-fill forms during the loan application
SMS
To read SMS to understand purchasing behavior for assessing credit limit
Others
Location to provide serviceability of loan application.Camera & Storage to allow capture images & upload documents",2.1.7,"November 21, 2019","• UI changes for disbursement notifications
• Bug fixes and improvements",,,,Mon Dec  9 00:33:45 2019
Cash Loan & Salary Advance Loan App - QuickCredit,"500,000+","8,062",Finance,4.1,com.quickcredit.mobile,QuickCredit - India’s 1st Instant Loan Platform,https://play.google.com/store/apps/details?id=com.quickcredit.mobile,"QuickCredit is amongst India's leading 
 and 
 loan app. With our paperless online process and AI-based algorithm, get your loan approved instantly within minutes. Choose the amount you wish to avail and get it transferred directly to your bank account. Get an 
 ranging from ₹ 5,000 to ₹ 1 Lakh on our 
 to meet all your monetary requirements time to time. No pre-closure charges, No hidden cost, No credit history required.
Our primary motive is to help you with instant cash for your individual and family needs & emergencies. We are India’s first 
 for salaried employees.
✔️AI-based Instant approval and disbursal in 5 minutes
✔️Apply for a fast loan through the app. No physical verification
✔️Instant Cash and Personal Loan. 100% Online Loan with minimal documents
✔️Our credit line gives you an instant loan online in a paperless process
✔️Flexible repayment tenure upto 90 days
✔️Loans ranging from ₹5,000 to ₹1 Lakh with APR as low as 24%
✔️We are a happy family of 4 Lakh borrowers and counting more
✔️Over 5,00,000+ downloads
✔️Disbursing loans in all major cities of India with a total count of 2 lakh loans disbursed
📲
Simple One-Time Registration followed by a Quick Approval and Instant Fund Transfer
Register through website or QuickCredit mobile app, fill a few basic details, check your eligibility, get instant approval and DONE!
Instantly Apply Loan upto your pre-approved amount and get money transferred to your bank account in 5 minutes, subject to documentation
👌
•Instant Loans from 5,000 to 1,00,000.
•Hassle-free Paperless verification with minimal documents to get quick loan. Cash transfer to your bank account in minutes
•Quick processing with instant money transfer. 
•You only pay for what you use. The loans are extremely flexible with rates as low as 0.2% per day and the loan duration is 30 days. There are no hidden costs. There are no pre-closure charges.
•An ideal option when you are in need of instant cash for emergencies. Money disbursal for new borrowers is as fast as 1hr and cash is just a click away for existing borrowers
•QuickCredit cash app provides instant loans in the form of easy online cash, digital loan for a low salary, ecash online for your urgent loan needs
✨
● A quick credit loan can be used as an instant cash loan, urgent loan, any time loan, salary advance loan
Medical loan🚑,Skill upgradation loan📚,Wedding or Marriage loan💍,Home renovation loan🏡,Travel/Holiday loan ✈️, etc
Phone se loan, loans by phone - travel expenses, pay your rental deposit, loan to friends, consolidate credit card repayment, cash crunch, other monthly bills
A quick cash loan for your early salary needs - bad credit loan, immediate approval loan, cheap loan to borrow money
● The fastest bank loan you can get online, need money urgently today, online finance, online money lender with no paperwork - Help friends or family with emergency cash, urgent money, immediate cash, urgent cash online
💰
On availing a loan of Rs 10,000 for a month, borrower attracts interest of 15%. We do not have a minimum or maximum repayment period as our loans come with a flexible renewal option. Processing fee ranging from Rs 100 to 500 is applicable on all loans
🏙
Our online loan app provides instant cash loans across all states in India. Access instant credit through our mobile application or website.
●Hyderabad, Bangalore, Chennai, Mumbai, Pune, Delhi, Gurgaon, Kolkata and other cities
🔐
It is our top priority as our backend APIs comply with mandated security standards and robust protocols
 our instant cash loan, salary advance and instant personal loan app now! 👆",4.1.6,"November 26, 2019","Introducing the all new QuickCredit app:
- Revised Rates
- Enhanced User Interface
- Easy Refer and Earn
- Updated dashboard to see all your limits
- New and improved chat
- Get notified about limit enhancement
- New Google Login
- Minor Bug Fixes and Performance Improvement",,,,Mon Dec  9 00:33:45 2019
"Mystro: Quick, Instant & Simple Personal loan app","100,000+","9,740",Finance,4.2,in.mystro,Mitron Capital,https://play.google.com/store/apps/details?id=in.mystro,"Mystro is India’s truly digital loan company that offers loans from its own NBFC for varying needs ranging from education,personal or business needs. Mystro is the e-Loan platform of Mitron Capital (a Mumbai based NBFC) that specialises in small ticket loans ranging from Rs.10,000 to Rs. 5 lakhs. We serve customers on a tech enabled platform where credit decision making is based on various customer inputs and social footprints, which enables us to serve new to credit customers as well.
Why download the app?
1. Zero charge for Application, pay only when we Approve your loan
2. Hassle free loan application  (No paperwork, upload documents online)
3. Quick and transparent process
4. Zero pre-closure charges on all Loans
5. Track your loan 24x7 on the app
6. Best Digital Loan app
Loan products offered:
Loan products meant for Students, Salaried or Self employed. Choose from our various tailor made offering with Loan amounts ranging from Rs. 10,000 to Rs. 5 lakhs. Loan duration vary from 
. Applicable 
 will range from 
 to maximum of 
 i.e an Annual Rate of Interest between 
 - 
Example of cost of loans:
Amount Borrowed(Principal): ₹20,000/-
Interest Rate: 2% monthly Simple Interest
Tenure: 8 months
Processing Fee = ₹400
Amount disbursed = ₹20000
Your EMI amount = ₹2958
Interest amount = ₹3264
Total Cost of Loan = ₹464+₹3200 = ₹3664
APR = (3664/20000)*12/8 = 27%
How it works?
1. Install the Mystro app
2. Use your Date of Birth and Mobile number to create a secure login access
3. Scroll through our various products in the app like Education Loans, Personal Loan, Micro Loans, Business Loans and Property Loans
4. Scan documents and fill up a 5 min form and submit
5. OTP is asked for verification so that your data is safe with us
6. Loan officers call you in case any additional info is required
6. Approved or Declined > Check the status on your app. If Approved, get your Sanction terms and Sign your Loan document online.
Why us?
For us customer comes first. We may Approve or Decline your case, however we tell you upfront. We are fast and simple to deal with.
We don't mislead customers. If you have any grievance on fee paid or EMI, please write to us at Info@mystro.in
Know more about the products, company and policies @www.mystro.in",1.9.7,"December 3, 2019","• Added security features
• Minor bug fixes 
• Informative tracker for Applied Loans and Active (outstanding) Loans",,,,Mon Dec  9 00:33:46 2019
InCred - Instant cash & Personal loans,"100,000+","1,181",Finance,3.0,com.incred.customer,Incred Financial Services Limited,https://play.google.com/store/apps/details?id=com.incred.customer,"Now apply for InCred Personal Loans and Manage all your InCred Loan accounts using the InCred App. 
InCred App comes with many exciting features:
•	Apply for personal loans (other products coming soon): Apply for loan and upload your documents 
•	Manage your InCred loan account : Existing customers of InCred (whether personal loan, SME loan, education loan or home loan) can download the InCred app to manage their loan account with InCred. 
•	Contact our customer support 
InCred Personal Loans are there to serve all your needs - whether you are planning your wedding, going on a dream holiday or need money urgently for any medical emergency. InCred Personal Loans come with many benefits:
•	Complete mobile application process
•	Quick loan disbursals
•	Flexible repayment options
So what are you waiting for? Download the InCred App now! 
Repayment tenure ranges from a minimum of 3 months to a maximum of 60 months. Maximum annual interest rate (reducing) of 32%. On INR 1,00,000 borrowed amount, annual interest rate 20%, tenure 12 months, and processing fee of INR 3,000, the monthly instalment amount comes out to be INR 9263 with a total cost of loans of INR 14,161 including the processing fee charged.
For any feedback or queries about InCred App or InCred Loans, write to us on care@incred.com or call us on 18605002192
About InCred:
InCred is a new-age financial services group that leverages technology and data-science to make lending quick and easy. The InCred group is currently giving loans across 4 categories: Consumer Loans, Affordable Housing Loans, Education Loans and SME Loans. InCred endeavours to disrupt the status quo in traditional lending with its simplified processes and a razor-sharp focus on serving the unique needs and circumstances of borrowers.
For more information, please visit: www.incred.com",5.3.1,"December 6, 2019","🔅InCred अब हिंदी में
🔅Fund your dreams now with Instant Cash, get instant approval of up to INR 1 lakh. Get money in your bank account when you want it. Interest applicable only when you make a withdrawal.
🔅Check your monthly EMI details and make payment via InCred app
🔅UX improvement and bug fixes.",,,,Mon Dec  9 00:33:48 2019
